神偷奶爸,2010,皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud
射雕英雄传之东成西就,1993,刘镇伟 Jeffrey Lau
傲慢与偏见,2005,乔·怀特 Joe Wright
玩具总动员3,2010,李·昂克里奇 Lee Unkrich
一个叫欧维的男人决定去死,2015,汉内斯·赫尔姆 Hannes Holm
釜山行,2016,延尚昊 Sang-ho Yeon
恐怖直播,2013,金秉祐 Byeong-woo Kim
被解救的姜戈,2012,昆汀·塔伦蒂诺 Quentin Tarantino
寄生虫,2019,奉俊昊 Joon-ho Bong
哪吒闹海,1979,王树忱 Shuchen Wang / 严定宪 Dingxian Yan
未麻的部屋,1997,今敏 Satoshi Kon
血战钢锯岭,2016,梅尔·吉布森 Mel Gibson
头号玩家,2018,史蒂文·斯皮尔伯格 Steven Spielberg
我是山姆,2001,杰茜·尼尔森 Jessie Nelson
哈利·波特与火焰杯,2005,迈克·内威尔 Mike Newell
七武士,1954,黑泽明 Akira Kurosawa
新世界,2013,朴勋政 Hoon-jung Park
喜宴,1993,李安 Ang Lee
黑客帝国3：矩阵革命,2003,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski
模仿游戏,2014,莫滕·泰杜姆 Morten Tyldum
电锯惊魂,2004,詹姆斯·温 James Wan
花样年华,2000,王家卫 Kar Wai Wong
卢旺达饭店,2004,特瑞·乔治 Terry George
三块广告牌,2017,马丁·麦克唐纳 Martin McDonagh
头脑特工队,2015,彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen
你的名字。,2016,新海诚 Makoto Shinkai
疯狂原始人,2013,科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders
上帝之城,2002,费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund
风之谷,1984,宫崎骏 Hayao Miyazaki
达拉斯买家俱乐部,2013,让-马克·瓦雷 Jean-Marc Vallée
谍影重重3,2007,保罗·格林格拉斯 Paul Greengrass
英雄本色,1986,吴宇森 John Woo
纵横四海,1991,吴宇森 John Woo
心迷宫,2014,忻钰坤 Yukun Xin
惊魂记,1960,阿尔弗雷德·希区柯克 Alfred Hitchcock
岁月神偷,2010,罗启锐 Alex Law
记忆碎片,2000,克里斯托弗·诺兰 Christopher Nolan
九品芝麻官,1994,王晶 Jing Wong
海街日记,2015,是枝裕和 Hirokazu Koreeda
忠犬八公物语,1987,Seijirô Kôyama
荒蛮故事,2014,达米安·斯兹弗隆 Damián Szifron
爆裂鼓手,2014,达米恩·查泽雷 Damien Chazelle
绿里奇迹,1999,Frank Darabont
贫民窟的百万富翁,2008,丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan
真爱至上,2003,理查德·柯蒂斯 Richard Curtis
爱在午夜降临前,2013,理查德·林克莱特 Richard Linklater
小偷家族,2018,是枝裕和 Hirokazu Koreeda
东邪西毒,1994,王家卫 Kar Wai Wong
无敌破坏王,2012,瑞奇·莫尔 Rich Moore
冰川时代,2002,卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge
疯狂的石头,2006,宁浩 Hao Ning
色，戒,2007,李安 Ang Lee
黑天鹅,2010,达伦·阿罗诺夫斯基 Darren Aronofsky
你看起来好像很好吃,2010,藤森雅也 Masaya Fujimori
恐怖游轮,2009,克里斯托弗·史密斯 Christopher Smith
雨中曲,1952,斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly
雨人,1988,巴瑞·莱文森 Barry Levinson
恋恋笔记本,2004,尼克·卡索维茨 Nick Cassavetes
2001太空漫游,1968,斯坦利·库布里克 Stanley Kubrick
魔女宅急便,1989,宫崎骏 Hayao Miyazaki
萤火虫之墓,1988,高畑勋 Isao Takahata
城市之光,1931,Charles Chaplin
可可西里,2004,陆川 Chuan Lu
遗愿清单,2007,罗伯·莱纳 Rob Reiner
虎口脱险,1966,杰拉尔·乌里 Gérard Oury
大佛普拉斯,2017,黄信尧 Hsin-yao Huang
人工智能,2001,史蒂文·斯皮尔伯格 Steven Spielberg
初恋这件小事,2011,"普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...<br>
                            2010"
海边的曼彻斯特,2016,肯尼斯·罗纳根 Kenneth Lonergan
牯岭街少年杀人事件,1991,杨德昌 Edward Yang
无间道2,2003,刘伟强 / 麦兆辉
罗生门,1950,黑泽明 Akira Kurosawa
终结者2：审判日,1991,詹姆斯·卡梅隆 James Cameron
二十二,2015,郭柯 Ke Guo
茶馆,1982(中国大陆),谢添 Tian Xie
奇迹男孩,2017,斯蒂芬·卓博斯基 Stephen Chbosky
东京教父,2003,今敏 Satoshi Kon
青蛇,1993,徐克 Hark Tsui
房间,2015,伦尼·阿伯拉罕森 Lenny Abrahamson
新龙门客栈,1992,李惠民 Raymond Lee
背靠背，脸对脸,1994,黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang
疯狂的麦克斯4：狂暴之路,2015,乔治·米勒 George Miller
波西米亚狂想曲,2018,布莱恩·辛格 Bryan Singer
无耻混蛋,2009,Quentin Tarantino
魂断蓝桥,1940,茂文·勒鲁瓦 Mervyn LeRoy
小丑,2019,托德·菲利普斯 Todd Phillips
血钻,2006,爱德华·兹威克 Edward Zwick
步履不停,2008,是枝裕和 Hirokazu Koreeda
黑客帝国2：重装上阵,2003,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski
彗星来的那一夜,2013,詹姆斯·沃德·布柯特 James Ward Byrkit
千钧一发,1997,安德鲁·尼科尔 Andrew Niccol
战争之王,2005,安德鲁·尼科尔 Andrew Niccol
燃情岁月,1994,爱德华·兹威克 Edward Zwick
崖上的波妞,2008,宫崎骏 Hayao Miyazaki
谍影重重2,2004,保罗·格林格拉斯 Paul Greengrass
阿飞正传,1990,王家卫 Kar Wai Wong
爱乐之城,2016,达米恩·查泽雷 Damien Chazelle
海洋,2009,雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud
谍影重重,2002,道格·里曼 Doug Liman
穿越时空的少女,2006,细田守 Mamoru Hosoda
香水,2006,汤姆·提克威 Tom Tykwer
地球上的星星,2007,阿米尔·汗 Aamir Khan
再次出发之纽约遇见你,2013,约翰·卡尼 John Carney
我爱你,2011,秋昌民 Chang-min Choo
完美陌生人,2016,保罗·格诺维瑟 Paolo Genovese
朗读者,2008,史蒂芬·戴德利 Stephen Daldry
火星救援,2015,雷德利·斯科特 Ridley Scott
千年女优,2001,今敏 Satoshi Kon
驴得水,2016,周申 Shen Zhou / 刘露 Lu Liu
聚焦,2015,托马斯·麦卡锡 Thomas McCarthy
末路狂花,1991,雷德利·斯科特 Ridley Scott
小萝莉的猴神大叔,2015,卡比尔·汗 Kabir Khan
浪潮,2008,丹尼斯·甘塞尔 Dennis Gansel
